Anios;PIB-PER-Caribe;PIB-Caribe;PB-MLT-Caribe;PIB-PER-Oriental;PIB-Oriental;PB-MLT-Oriental;PIB-PER-Central;PIB-Central;PB-MLT-Central;PIB-PER-Pacífica;PIB-Pacífica;PB-MLT-Pacífica;PIB-PER-Bogotá;PIB-Bogotá;PB-MLT-Bogotá;PIB-PER-Antioquia;PIB-Antioquia;PB-MLT-Antioquia;PIB-PER-Valle del Cauca;PIB-Valle del Cauca;PB-MLT-Valle del Cauca
2010;55.773.488;77.920;44.6;82.353.717;39.661;27.2;95.255.397;130.624;28.9;17.511.016;19.110;41.4;19.690.381;139.740;12.0;13.099.961;75.982;27.6;12.538.426;54.213;24.4
2011;62.764.348;88.358;41.1;109.340.678;56.746;28.1;106.392.853;147.787;28.4;19.984.650;21.495;40.2;21.347.503;152.691;12.1;14.580.906;85.578;25.3;13.461.456;58.465;25.5
2012;67.004.084;96.226;40.8;114.499.265;61.614;27.4;112.153.107;157.403;24.7;20.803.209;23.271;34.9;22.865.844;164.542;11.1;15.552.451;92.318;21.9;14.347.570;62.545;21.1
2013;69.541.739;103.038;37.0;117.232.551;65.135;24.0;118.791.615;168.538;23.9;20.989.888;24.854;36.3;24.536.591;177.361;8.7;16.425.657;98.573;22.1;15.262.933;66.719;16.9
2014;72.496.130;109.572;34.1;107.248.638;59.526;17.3;128.942.631;186.010;26.2;22.456.462;27.222;34.0;26.337.646;191.026;5.2;17.607.117;106.819;19.4;16.490.649;72.279;16.5
2015;76.661.376;117.805;30.9;88.862.323;49.080;16.8;135.857.989;197.489;20.6;24.908.755;30.422;32.5;28.388.682;206.478;4.6;18.817.790;115.446;18.4;17.755.474;78.074;16.2
2016;83.361.440;129.467;26.4;77.712.212;42.728;16.1;145.954.498;214.558;17.2;27.947.939;34.185;32.9;30.332.565;221.456;5.6;20.289.054;126.022;15.0;19.277.535;85.102;12.4
2018;93.666.834;150.080;32.9;96.166.702;56.564;15.7;159.480.418;241.717;17.4;28.095.420;36.091;32.8;34.258.181;253.941;4.1;22.112.974;141.680;15.3;21.424.516;95.894;14.1
2019;93.930.265;157.933;28.1;101.288.300;61.268;15.2;167.678.989;259.446;15.2;30.170.104;38.830;26.3;36.023.838;273.524;7.1;23.443.301;153.558;15.7;22.893.005;103.173;10.8
2020;82.696.981;145.109;28.7;83.916.784;50.735;14.5;156.523.144;245.210;17.9;29.932.930;38.269;30.9;33.601.347;260.207;7.5;22.220.442;148.387;14.9;21.998.382;99.700;11.1
