Anios;Caribe;Oriental;Central;Pacífica;Bogotá;Antioquia;Valle del Cauca
2010;7967641;20588429;10583933;5837005;19690381;13099961;12538426
2011;8966335;27335170;11821428;6661550;21347503;14580906;13461456
2012;9572012;28624816;12461456;6934403;22865844;15552451;14347570
2013;9934534;29308138;13199068;6996629;24536591;16425657;15262933
2014;10356590;26812159;14326959;7485487;26337646;17607117;16490649
2015;10951625;22215581;15095332;8302918;28388682;18817790;17755474
2016;11908777;19428053;16217166;9315980;30332565;20289054;19277535
2017;12806055;21165826;16946025;9244733;32270875;21021421;20251506
2018;13380976;24041675;17720046;9365140;34258181;22112974;21424516
2019;13418609;25322075;18630999;10056701;36023838;23443301;22893005
2020;11813854;20979196;17391460;9977643;33601347;22220442;21998382
